항공사,편명,공항,상대공항,출발시간,도착시간,운항요일,시작일자,종료일자,기종,비고
BX,BX8811,GMP,PUS,11:30,12:25,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8812,PUS,GMP,13:00,13:55,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8813,GMP,PUS,12:30,13:25,월화수목금토일,2016-04-01,2016-10-29,A320,
BX,BX8814,PUS,GMP,14:00,14:55,월화수목금토일,2016-04-01,2016-10-29,A320,
BX,BX8816,PUS,GMP,15:00,15:55,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8817,GMP,PUS,14:30,15:25,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8818,PUS,GMP,16:00,16:55,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8819,GMP,PUS,15:30,16:25,월화수목금토일,2016-04-01,2016-10-29,A320,
BX,BX8820,PUS,GMP,17:00,17:55,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8821,GMP,PUS,16:30,17:25,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8822,PUS,GMP,18:00,18:55,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8823,GMP,PUS,17:30,18:25,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8824,PUS,GMP,19:00,19:55,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8825,GMP,PUS,18:30,19:25,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8826,PUS,GMP,20:00,20:55,월화수목금토일,2016-03-30,2016-10-29,A320,
BX,BX8827,GMP,PUS,19:30,20:25,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8828,PUS,GMP,21:00,21:55,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8829,GMP,PUS,20:30,21:35,월화수목금토일,2016-03-27,2016-10-29,A320,
BX,BX8830,PUS,GMP,21:30,22:25,금일,2016-04-01,2016-10-29,A320,
BX,BX8831,GMP,PUS,21:30,22:25,금일,2016-04-01,2016-10-29,A320,
ZE,ZE201,GMP,CJU,06:25,07:30,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE202,CJU,GMP,08:55,10:00,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE203,GMP,CJU,06:50,07:55,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE204,CJU,GMP,08:05,09:10,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE205,GMP,CJU,08:20,09:25,월화수목금토일,2016-03-27,2016-10-29,B738,
